Jogador,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Alexander Isak,14,seSWE,FW,24-346,90,1,0,0,0,3,1,0,0,25,1,0,2,1.0,1.0,0.0,2,0,9,12,"75,0",0,14,3,3,1,2024-09-01
Harvey Barnes,11,engENG,LW,26-267,60,1,0,0,0,2,1,0,0,14,1,1,0,0.2,0.2,0.0,0,0,4,7,"57,1",1,10,1,1,1,2024-09-01
Jacob Murphy,23,engENG,RW,29-190,30,0,1,0,0,2,1,0,0,19,0,0,0,0.1,0.1,0.9,0,0,8,14,"57,1",1,12,0,1,0,2024-09-01
Anthony Gordon,10,engENG,"RW,LW",23-190,89,0,0,0,0,0,0,0,0,51,3,1,2,0.0,0.0,0.3,4,0,18,35,"51,4",0,23,3,5,1,2024-09-01
Miguel Almirón,24,pyPAR,LW,30-204,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-09-01
Joelinton,7,brBRA,LM,28-018,90,0,0,0,0,0,0,1,0,38,2,0,4,0.0,0.0,0.0,1,1,18,24,"75,0",3,21,1,2,0,2024-09-01
Bruno Guimarães,39,brBRA,CM,26-290,90,0,0,0,0,0,0,1,0,40,1,3,1,0.0,0.0,0.0,1,0,17,23,"73,9",2,19,0,2,1,2024-09-01
Sean Longstaff,36,engENG,RM,26-307,67,0,0,0,0,0,0,1,0,38,5,3,2,0.0,0.0,0.0,1,0,20,26,"76,9",2,16,0,0,0,2024-09-01
Sandro Tonali,8,itITA,RM,24-116,23,0,0,0,0,0,0,0,0,10,1,1,0,0.0,0.0,0.0,0,0,5,5,"100,0",1,5,0,0,0,2024-09-01
Lloyd Kelly,25,engENG,LB,25-331,67,0,1,0,0,1,0,1,0,30,0,1,1,0.2,0.2,0.2,1,1,17,22,"77,3",1,13,0,1,1,2024-09-01
Lewis Hall,20,engENG,LB,19-359,23,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,7,8,"87,5",0,3,0,0,0,2024-09-01
Dan Burn,33,engENG,CB,32-115,90,0,0,0,0,0,0,0,0,37,2,2,2,0.0,0.0,0.0,2,2,18,22,"81,8",2,13,0,0,0,2024-09-01
Emil Krafth,17,seSWE,CB,30-030,90,0,0,0,0,1,0,0,0,32,1,0,2,0.0,0.0,0.0,1,0,20,23,"87,0",0,20,0,0,0,2024-09-01
Valentino Livramento,21,engENG,RB,21-294,90,0,0,0,0,0,0,0,0,53,0,2,4,0.0,0.0,0.1,1,0,27,35,"77,1",0,21,1,3,2,2024-09-01
Nick Pope,22,engENG,GK,32-135,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,14,31,"45,2",0,15,0,0,0,2024-09-01
15 Jogadores,,,,,990,2,2,0,0,9,3,4,0,434,17,14,21,1.6,1.6,1.5,15,4,202,287,"70,4",13,205,9,18,7,2024-09-01
Dejan Kulusevski,21,seSWE,"RM,FW",24-129,90,0,0,0,0,2,0,0,0,55,1,2,1,0.1,0.1,0.1,7,0,31,40,"77,5",3,25,7,5,1,2024-09-01
Son Heung-min,7,krKOR,"FW,LW",32-055,90,0,0,0,0,1,0,0,0,45,2,0,0,0.1,0.1,0.1,7,0,36,39,"92,3",8,26,6,3,1,2024-09-01
Wilson Odobert,28,frFRA,"RW,LW",19-278,73,0,0,0,0,4,0,0,0,38,2,0,0,0.3,0.3,0.0,2,0,20,28,"71,4",3,24,2,2,0,2024-09-01
Timo Werner,16,deGER,LW,28-179,17,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,8,8,"100,0",1,7,0,1,0,2024-09-01
James Maddison,10,engENG,LM,27-283,81,0,0,0,0,2,2,1,0,65,1,0,0,0.1,0.1,0.1,6,0,40,55,"72,7",4,43,2,2,0,2024-09-01
Lucas Bergvall,15,seSWE,LM,18-212,9,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,9,11,"81,8",1,5,0,0,0,2024-09-01
Yves Bissouma,8,mlMLI,CM,28-002,81,0,0,0,0,0,0,1,0,70,1,0,1,0.0,0.0,0.1,3,0,55,59,"93,2",9,44,2,4,3,2024-09-01
Rodrigo Bentancur,30,uyURU,CM,27-068,9,0,0,0,0,0,0,1,0,16,0,0,0,0.0,0.0,0.0,0,0,13,16,"81,3",0,7,0,0,0,2024-09-01
Pape Matar Sarr,29,snSEN,RM,21-353,45,0,0,0,0,2,2,1,0,42,4,0,2,0.1,0.1,0.0,1,0,31,33,"93,9",0,22,0,0,0,2024-09-01
Brennan Johnson,22,wlsWAL,RW,23-101,45,0,0,0,0,2,1,0,0,27,2,0,1,0.4,0.4,0.0,2,0,15,23,"65,2",3,15,6,2,2,2024-09-01
